법정동시도코드,시도명,법정동시군구코드,시군구명,시간코드,전체_카드,교통,백화점,소형유통,숙박,스포츠외,여행,요식,의료,주유,주차장,편의점,할인점외
44,충남,133,천안시 서북구,55,23927,10731,2829,9384,1013,3701,202,23875,853,6763,1785,10720,9992
11,서울,230,동대문구,52,30131,9961,5218,12098,1438,4820,417,35865,1596,4921,2300,15520,13749
41,경기,820,가평군,52,2488,877,264,1005,102,345,18,2389,101,651,147,1035,779
42,강원,760,평창군,54,2224,670,167,931,117,246,19,1985,127,647,171,901,803
48,경남,860,산청군,54,154,18,7,49,0,7,0,150,0,53,7,73,69
41,경기,310,구리시,53,9347,2791,1846,3559,505,1480,124,10384,459,2252,964,4567,4285
41,경기,410,군포시,51,16828,5062,2686,6524,721,2390,181,18555,945,3940,1508,7612,7949
48,경남,840,남해군,55,63,0,0,26,0,0,0,59,0,12,0,31,21
46,전남,810,강진군,51,532,110,42,228,18,28,0,418,26,159,25,167,142
47,경북,190,구미시,53,45757,16034,4432,17751,1622,5670,343,43920,2123,13867,2701,19672,20933
45,전북,113,전주시 덕진구,51,14547,5237,1440,5551,639,2101,160,14100,749,3973,1407,5567,6166
42,강원,790,화천군,52,686,240,50,288,31,102,0,764,24,204,63,323,245
41,경기,210,광명시,54,28533,8512,4173,11328,1220,4025,317,31136,1415,5796,2697,12615,13685
43,충북,113,청주시 흥덕구,55,9721,4747,1716,3796,476,1654,109,10388,435,2941,1139,4567,4425
41,경기,570,김포시,53,34276,7863,4517,14096,1748,6037,857,37014,1891,8967,4091,16031,15522
45,전북,730,무주군,52,456,134,47,195,14,53,0,382,17,124,20,173,158
29,광주,155,남구,53,13286,4722,1700,5051,563,2039,174,12560,644,3680,1347,4904,5700
41,경기,500,이천시,51,1707,624,276,673,92,274,14,1899,61,455,193,933,748
42,강원,750,영월군,52,1213,436,107,512,54,128,13,1144,89,246,50,526,443
